id,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
131,127608,Chris,Brooklyn,Clinton Hill,40.68414,-73.96351,Private room,89,3,260,03/07/2019,2.35,1,278
132,125857,Uli,Manhattan,East Village,40.72392,-73.99143,Entire home/apt,185,5,73,25/06/2019,0.66,1,209
133,129352,Sol,Brooklyn,Greenpoint,40.73494,-73.9503,Private room,50,3,193,20/05/2019,1.86,1,0
134,120335,Cs,Manhattan,Lower East Side,40.71341,-73.98856,Entire home/apt,105,3,32,14/06/2019,0.29,1,16
135,117287,Lara,Manhattan,Hell's Kitchen,40.76754,-73.98399,Private room,130,2,50,26/05/2019,0.45,3,234
136,135619,Tom,Manhattan,West Village,40.73442,-74.00303,Entire home/apt,115,29,26,01/07/2019,0.25,1,12
137,137292,Sunder,Brooklyn,Flatlands,40.63188,-73.93248,Private room,77,2,2,01/01/2019,0.02,1,178
138,137814,Waldemar,Brooklyn,Clinton Hill,40.6873,-73.9634,Private room,76,2,426,24/06/2019,3.89,3,275
139,137974,Khem,Brooklyn,Bedford-Stuyvesant,40.68296,-73.93662,Entire home/apt,125,3,227,23/06/2019,2.09,2,163
140,116599,Sahr,Brooklyn,Clinton Hill,40.6863,-73.96765,Private room,135,4,84,01/07/2019,0.77,3,365
141,138579,Ali+Scott,Brooklyn,Greenpoint,40.73409,-73.95348,Entire home/apt,250,29,3,30/07/2017,0.03,1,34
142,139612,Elisabeth,Brooklyn,Williamsburg,40.71561,-73.94835,Entire home/apt,199,3,10,11/06/2018,0.1,1,280
143,139874,Sarah,Brooklyn,Cobble Hill,40.6857,-73.99183,Entire home/apt,140,2,4,24/04/2016,0.04,1,0
144,140025,Fredah,Queens,Flushing,40.74028,-73.83168,Private room,140,2,1,19/09/2011,0.01,1,1
145,137974,Khem,Brooklyn,Bedford-Stuyvesant,40.68281,-73.93524,Entire home/apt,115,3,124,20/06/2019,1.72,2,170
146,142833,Katherine,Brooklyn,Williamsburg,40.71596,-73.93938,Entire home/apt,160,3,11,02/07/2019,0.11,1,188
147,143027,Ming,Brooklyn,Williamsburg,40.71492,-73.95935,Entire home/apt,195,4,240,17/06/2019,2.19,1,214
148,143048,Paula,Manhattan,East Village,40.72354,-73.98295,Entire home/apt,195,3,30,17/06/2019,0.28,1,248
149,72014,Lulú,Brooklyn,Williamsburg,40.71165,-73.96087,Private room,80,3,200,22/06/2019,1.86,4,262
150,149929,Obed,Brooklyn,Fort Greene,40.69101,-73.97312,Private room,44,8,27,29/06/2019,1.05,5,280
151,120291,Karen,Manhattan,West Village,40.73474,-74.00101,Private room,156,4,79,22/06/2019,0.74,1,307
152,62165,Michael,Brooklyn,Prospect Heights,40.67386,-73.96641,Private room,85,15,9,10/05/2013,0.09,1,339
153,142684,White,Brooklyn,Williamsburg,40.71536,-73.96057,Private room,125,3,155,13/06/2019,1.61,1,1
154,137432,Paz,Brooklyn,Prospect Heights,40.6741,-73.96595,Entire home/apt,115,15,4,27/08/2018,0.05,1,269
155,157798,Irene,Manhattan,East Harlem,40.79295,-73.93997,Private room,69,2,34,29/05/2017,0.32,1,10
156,158284,Karene,Manhattan,West Village,40.73226,-74.00401,Entire home/apt,225,45,134,31/03/2019,1.24,1,312
157,159370,Viviana,Brooklyn,Williamsburg,40.71363,-73.96398,Entire home/apt,125,6,27,27/12/2018,0.25,1,189
158,92788,Sara,Manhattan,Upper East Side,40.77711,-73.9527,Entire home/apt,219,4,126,26/06/2019,1.16,2,290
159,165789,Sarah,Brooklyn,Boerum Hill,40.68559,-73.98094,Entire home/apt,475,3,23,31/12/2018,0.27,1,230
160,168417,Marie,Manhattan,Upper East Side,40.77456,-73.95323,Entire home/apt,99,1,234,08/06/2019,2.6,2,164
161,168525,Gus,Brooklyn,Williamsburg,40.71088,-73.95055,Private room,69,4,202,28/05/2019,1.86,2,53
162,110506,Myung,Queens,Sunnyside,40.74559,-73.92313,Private room,79,30,28,12/04/2019,0.26,1,126
163,170510,Renée,Brooklyn,Bedford-Stuyvesant,40.68306,-73.94659,Entire home/apt,135,2,309,22/06/2019,2.86,2,3
164,171851,Henry,Brooklyn,DUMBO,40.70207,-73.98571,Private room,250,3,14,25/04/2011,0.13,1,189
165,174025,Sylvia,Manhattan,Upper East Side,40.76123,-73.9642,Entire home/apt,250,3,4,23/09/2016,0.08,1,365
166,180083,Syl,Brooklyn,Gowanus,40.66858,-73.99083,Entire home/apt,250,2,80,06/07/2019,2.17,1,0
167,181167,Lorenzo,Manhattan,Harlem,40.82704,-73.94907,Entire home/apt,80,3,2,02/11/2015,0.04,1,0
168,137814,Waldemar,Brooklyn,Clinton Hill,40.68843,-73.96408,Private room,70,2,294,24/06/2019,3.47,3,336
169,11481,Annette,Brooklyn,Carroll Gardens,40.6783,-74.00135,Entire home/apt,165,2,150,18/06/2019,1.4,3,342
170,185978,Newyorkroomwithaview,Staten Island,St. George,40.64524,-74.08088,Private room,70,2,166,13/06/2019,1.66,1,312
171,177536,Tessa,Brooklyn,Bushwick,40.70641,-73.91765,Private room,50,2,47,19/06/2019,0.94,1,37
